Frequency(Hz),   Magnitude(dB)
   23.893, -14.322962
   24.123, -14.306590
   24.356, -14.289308
   24.590, -14.268053
   24.827, -14.237894
   25.066, -14.200690
   25.308, -14.157813
   25.552, -14.114627
   25.798, -14.071123
   26.046, -14.027306
   26.297, -13.983205
   26.550, -13.938796
   26.806, -13.893047
   27.064, -13.845300
   27.325, -13.797297
   27.588, -13.748974
   27.854, -13.700464
   28.122, -13.651724
   28.393, -13.602845
   28.667, -13.553659
   28.943, -13.504402
   29.222, -13.454894
   29.503, -13.405348
   29.788, -13.355566
   30.074, -13.305217
   30.364, -13.253611
   30.657, -13.201983
   30.952, -13.150243
   31.250, -13.098503
   31.551, -13.046818
   31.855, -12.995046
   32.162, -12.943410
   32.472, -12.891799
   32.785, -12.840363
   33.100, -12.789060
   33.419, -12.737858
   33.741, -12.687721
   34.066, -12.640335
   34.394, -12.593107
   34.726, -12.546177
   35.060, -12.499709
   35.398, -12.453512
   35.739, -12.407851
   36.083, -12.362530
   36.431, -12.317720
   36.782, -12.273595
   37.136, -12.229954
   37.494, -12.187079
   37.855, -12.143997
   38.220, -12.098681
   38.588, -12.054213
   38.959, -12.010644
   39.335, -11.967988
   39.714, -11.926308
   40.096, -11.885681
   40.482, -11.846218
   40.872, -11.807982
   41.266, -11.771029
   41.664, -11.735405
   42.065, -11.701196
   42.470, -11.668806
   42.879, -11.639540
   43.292, -11.612018
   43.709, -11.586314
   44.131, -11.562493
   44.556, -11.540512
   44.985, -11.520731
   45.418, -11.503043
   45.856, -11.487342
   46.297, -11.473473
   46.743, -11.461321
   47.194, -11.450578
   47.648, -11.440874
   48.107, -11.432055
   48.571, -11.423889
   49.039, -11.416155
   49.511, -11.408739
   49.988, -11.401638
   50.469, -11.394827
   50.956, -11.388337
   51.446, -11.382175
   51.942, -11.376348
   52.442, -11.370878
   52.948, -11.365765
   53.458, -11.360779
   53.973, -11.349798
   54.492, -11.339121
   55.017, -11.328917
   55.547, -11.319147
   56.082, -11.309822
   56.623, -11.300945
   57.168, -11.292514
   57.719, -11.284619
   58.275, -11.277126
   58.836, -11.270172
   59.403, -11.263813
   59.975, -11.257967
   60.553, -11.254595
   61.136, -11.251735
   61.725, -11.249527
   62.320, -11.247968
   62.920, -11.247029
   63.526, -11.246744
   64.138, -11.247127
   64.756, -11.248205
   65.380, -11.249993
   66.010, -11.252512
   66.645, -11.255776
   67.287, -11.259841
   67.936, -11.267105
   68.590, -11.275399
   69.251, -11.284609
   69.918, -11.294559
   70.591, -11.305248
   71.271, -11.316545
   71.958, -11.328424
   72.651, -11.340749
   73.351, -11.353476
   74.058, -11.366498
   74.771, -11.379624
   75.491, -11.393037
   76.218, -11.405687
   76.953, -11.418452
   77.694, -11.431423
   78.442, -11.444608
   79.198, -11.458005
   79.961, -11.471618
   80.731, -11.485463
   81.509, -11.499522
   82.294, -11.513828
   83.087, -11.528357
   83.887, -11.543135
   84.695, -11.558163
   85.511, -11.571735
   86.335, -11.585169
   87.166, -11.598743
   88.006, -11.612690
   88.854, -11.626799
   89.710, -11.641287
   90.574, -11.655930
   91.446, -11.670753
   92.327, -11.685739
   93.217, -11.700705
   94.115, -11.715866
   95.021, -11.731014
   95.937, -11.745650
   96.861, -11.760233
   97.794, -11.774873
   98.736, -11.789808
   99.687, -11.805071
  100.647, -11.820574
  101.617, -11.836452
  102.596, -11.852652
  103.584, -11.869135
  104.582, -11.886005
  105.589, -11.903235
  106.606, -11.920713
  107.633, -11.938858
  108.670, -11.957482
  109.717, -11.976473
  110.774, -11.995845
  111.841, -12.015628
  112.918, -12.036014
  114.006, -12.057589
  115.104, -12.080655
  116.213, -12.105648
  117.333, -12.132649
  118.463, -12.161680
  119.604, -12.192829
  120.756, -12.225472
  121.919, -12.259524
  123.094, -12.295067
  124.280, -12.331486
  125.477, -12.368662
  126.686, -12.406475
  127.906, -12.444835
  129.138, -12.483656
  130.382, -12.522817
  131.638, -12.562308
  132.906, -12.601884
  134.186, -12.641632
  135.479, -12.680367
  136.784, -12.718487
  138.102, -12.756594
  139.432, -12.794711
  140.775, -12.832839
  142.131, -12.871036
  143.500, -12.909375
  144.883, -12.947908
  146.278, -12.986666
  147.687, -13.025584
  149.110, -13.064657
  150.546, -13.103863
  151.997, -13.147122
  153.461, -13.194114
  154.939, -13.241126
  156.432, -13.288360
  157.939, -13.335647
  159.460, -13.383104
  160.996, -13.430652
  162.547, -13.478312
  164.113, -13.526049
  165.694, -13.573837
  167.290, -13.621665
  168.901, -13.669484
  170.528, -13.716135
  172.171, -13.761437
  173.829, -13.806681
  175.504, -13.851823
  177.195, -13.897012
  178.901, -13.941967
  180.625, -13.986772
  182.365, -14.031340
  184.122, -14.075578
  185.895, -14.119424
  187.686, -14.162996
  189.494, -14.206044
  191.319, -14.245716
  193.162, -14.280933
  195.023, -14.315670
  196.902, -14.350128
  198.798, -14.384336
  200.713, -14.418199
  202.647, -14.451880
  204.599, -14.485275
  206.570, -14.518228
  208.560, -14.550885
  210.569, -14.583007
  212.597, -14.614790
  214.645, -14.647052
  216.713, -14.680525
  218.800, -14.713886
  220.908, -14.747025
  223.036, -14.780434
  225.185, -14.814173
  227.354, -14.848650
  229.544, -14.884171
  231.755, -14.920825
  233.988, -14.958852
  236.242, -14.998343
  238.517, -15.039233
  240.815, -15.081401
  243.135, -15.124797
  245.477, -15.169076
  247.841, -15.213711
  250.229, -15.258475
  252.639, -15.302848
  255.073, -15.346406
  257.530, -15.388852
  260.011, -15.430327
  262.516, -15.470704
  265.044, -15.510093
  267.598, -15.549049
  270.175, -15.587727
  272.778, -15.626226
  275.406, -15.665689
  278.059, -15.706476
  280.737, -15.748908
  283.441, -15.793008
  286.172, -15.838678
  288.928, -15.885811
  291.712, -15.934077
  294.522, -15.983079
  297.359, -16.032251
  300.223, -16.081280
  303.115, -16.129877
  306.035, -16.177616
  308.983, -16.224924
  311.960, -16.271767
  314.965, -16.318586
  317.999, -16.365520
  321.062, -16.412745
  324.155, -16.460690
  327.278, -16.509350
  330.430, -16.558718
  333.613, -16.608841
  336.827, -16.659683
  340.072, -16.710922
  343.347, -16.762299
  346.655, -16.813522
  349.994, -16.864456
  353.366, -16.914867
  356.770, -16.964649
  360.206, -17.013298
  363.676, -17.060677
  367.180, -17.106531
  370.717, -17.150923
  374.288, -17.193754
  377.893, -17.235239
  381.533, -17.275583
  385.209, -17.314880
  388.919, -17.353174
  392.666, -17.391029
  396.448, -17.428638
  400.267, -17.466211
  404.123, -17.503899
  408.016, -17.541874
  411.947, -17.580317
  415.915, -17.619396
  419.921, -17.659250
  423.966, -17.699942
  428.050, -17.741444
  432.174, -17.783463
  436.337, -17.826134
  440.540, -17.868999
  444.784, -17.912048
  449.068, -17.954861
  453.394, -17.997213
  457.762, -18.039036
  462.171, -18.080023
  466.624, -18.120443
  471.119, -18.160202
  475.657, -18.199633
  480.239, -18.238626
  484.865, -18.277786
  489.536, -18.316927
  494.251, -18.356422
  499.012, -18.396317
  503.819, -18.436546
  508.673, -18.477007
  513.573, -18.517420
  518.520, -18.557705
  523.515, -18.597298
  528.558, -18.635683
  533.649, -18.672523
  538.790, -18.707960
  543.980, -18.741688
  549.220, -18.773993
  554.511, -18.805115
  559.853, -18.835283
  565.246, -18.864882
  570.691, -18.893970
  576.188, -18.922413
  581.738, -18.949970
  587.342, -18.976496
  593.000, -19.001867
  598.713, -19.025990
  604.480, -19.048710
  610.303, -19.066757
  616.182, -19.082457
  622.118, -19.096050
  628.110, -19.107643
  634.161, -19.117947
  640.270, -19.128099
  646.438, -19.139137
  652.665, -19.151279
  658.952, -19.164209
  665.299, -19.177557
  671.708, -19.191071
  678.179, -19.204166
  684.712, -19.213667
  691.308, -19.219440
  697.967, -19.221113
  704.690, -19.218882
  711.479, -19.213488
  718.332, -19.205702
  725.252, -19.195539
  732.238, -19.182438
  739.292, -19.165821
  746.414, -19.145550
  753.604, -19.121708
  760.863, -19.093998
  768.193, -19.060610
  775.593, -19.022329
  783.064, -18.980183
  790.607, -18.934675
  798.223, -18.886480
  805.912, -18.835571
  813.676, -18.781368
  821.514, -18.723284
  829.427, -18.660789
  837.417, -18.594700
  845.484, -18.525789
  853.628, -18.454971
  861.851, -18.384245
  870.154, -18.312040
  878.536, -18.237144
  886.999, -18.160158
  895.543, -18.081596
  904.170, -18.001787
  912.880, -17.921221
  921.674, -17.840397
  930.552, -17.758684
  939.516, -17.674885
  948.566, -17.588497
  957.704, -17.500217
  966.929, -17.428143
  976.244, -17.364527
  985.648, -17.297516
  995.143, -17.227242
 1004.729, -17.155827
 1014.407, -17.085941
 1024.179, -17.018131
 1034.045, -16.951124
 1044.006, -16.883783
 1054.063, -16.815231
 1064.217, -16.745424
 1074.468, -16.673939
 1084.818, -16.609741
 1095.268, -16.549885
 1105.819, -16.486729
 1116.472, -16.421425
