Frequency(Hz),   Magnitude(dB)
   11.804, 126.391029
   11.929, 126.398987
   12.056, 126.412964
   12.184, 126.427803
   12.314, 126.442734
   12.445, 126.457764
   12.578, 126.472885
   12.711, 126.488098
   12.847, 126.503380
   12.983, 126.518753
   13.122, 126.534203
   13.261, 126.549728
   13.402, 126.565323
   13.545, 126.580978
   13.689, 126.596710
   13.835, 126.612473
   13.982, 126.628296
   14.131, 126.644165
   14.281, 126.660072
   14.433, 126.676010
   14.587, 126.691971
   14.742, 126.707954
   14.899, 126.723946
   15.057, 126.739944
   15.217, 126.755943
   15.379, 126.771919
   15.543, 126.787880
   15.708, 126.803810
   15.875, 126.819695
   16.044, 126.835541
   16.215, 126.851311
   16.388, 126.867004
   16.562, 126.882629
   16.738, 126.898155
   16.916, 126.913567
   17.096, 126.928864
   17.278, 126.944031
   17.462, 126.959030
   17.648, 126.973869
   17.836, 126.988525
   18.025, 127.002983
   18.217, 127.017227
   18.411, 127.031235
   18.607, 127.044991
   18.805, 127.058479
   19.005, 127.071671
   19.207, 127.084541
   19.412, 127.097076
   19.618, 127.109253
   19.827, 127.121040
   20.038, 127.132423
   20.251, 127.143364
   20.467, 127.153847
   20.684, 127.163841
   20.905, 127.173302
   21.127, 127.182220
   21.352, 127.190544
   21.579, 127.198250
   21.809, 127.205292
   22.041, 127.211655
   22.275, 127.217293
   22.512, 127.222153
   22.752, 127.226219
   22.994, 127.229424
   23.239, 127.231758
   23.486, 127.233345
   23.736, 127.234413
   23.988, 127.235199
   24.244, 127.235786
   24.501, 127.236168
   24.762, 127.236336
   25.026, 127.236298
   25.292, 127.236031
   25.561, 127.235550
   25.833, 127.234818
   26.108, 127.233856
   26.386, 127.232635
   26.667, 127.231155
   26.950, 127.229416
   27.237, 127.227394
   27.527, 127.225082
   27.820, 127.222488
   28.116, 127.219589
   28.415, 127.216385
   28.717, 127.212860
   29.023, 127.209007
   29.332, 127.204811
   29.644, 127.200272
   29.959, 127.195366
   30.278, 127.190094
   30.600, 127.184448
   30.926, 127.178413
   31.255, 127.171967
   31.587, 127.165108
   31.924, 127.157829
   32.263, 127.150116
   32.607, 127.141945
   32.953, 127.133316
   33.304, 127.124207
   33.658, 127.114609
   34.017, 127.104507
   34.379, 127.093895
   34.744, 127.082764
   35.114, 127.071190
   35.488, 127.059280
   35.865, 127.047112
   36.247, 127.034683
   36.633, 127.021980
   37.022, 127.009010
   37.416, 126.995758
   37.815, 126.982201
   38.217, 126.968369
   38.624, 126.954224
   39.035, 126.939774
   39.450, 126.925011
   39.870, 126.909927
   40.294, 126.894516
   40.723, 126.878754
   41.156, 126.862656
   41.594, 126.846222
   42.036, 126.829422
   42.484, 126.812256
   42.936, 126.794724
   43.393, 126.776802
   43.854, 126.758492
   44.321, 126.739777
   44.793, 126.720657
   45.269, 126.701134
   45.751, 126.681183
   46.238, 126.660812
   46.730, 126.640236
   47.227, 126.619568
   47.730, 126.598824
   48.237, 126.577805
   48.751, 126.556404
   49.269, 126.534607
   49.794, 126.512390
   50.323, 126.489777
   50.859, 126.466721
   51.400, 126.443253
   51.947, 126.419342
   52.500, 126.394974
   53.058, 126.370163
   53.623, 126.344879
   54.194, 126.319122
   54.770, 126.292877
   55.353, 126.266136
   55.942, 126.238899
   56.537, 126.211151
   57.139, 126.182869
   57.747, 126.154022
   58.361, 126.124268
   58.982, 126.093338
   59.610, 126.061279
   60.244, 126.028473
   60.885, 125.995148
   61.533, 125.961365
   62.188, 125.927124
   62.850, 125.892441
   63.518, 125.857323
   64.194, 125.821800
   64.877, 125.785896
   65.568, 125.749626
   66.265, 125.713013
   66.970, 125.676079
   67.683, 125.638855
   68.403, 125.601364
   69.131, 125.563652
   69.867, 125.525658
   70.610, 125.487328
   71.361, 125.448647
   72.121, 125.409637
   72.888, 125.370369
   73.664, 125.330811
   74.448, 125.290916
   75.240, 125.250687
   76.040, 125.210045
   76.849, 125.168991
   77.667, 125.127472
   78.494, 125.085442
   79.329, 125.042862
   80.173, 124.999664
   81.026, 124.955826
   81.888, 124.911118
   82.759, 124.865486
   83.640, 124.818985
   84.530, 124.771790
   85.430, 124.723938
   86.339, 124.675446
   87.257, 124.626282
   88.186, 124.576447
   89.124, 124.525925
   90.072, 124.474709
   91.031, 124.422791
   91.999, 124.370155
   92.978, 124.316856
   93.968, 124.262955
   94.968, 124.208313
