Frequency(Hz),   Magnitude(dB)
   23.607, 12.311739
   23.836, 12.314128
   24.066, 12.318357
   24.299, 12.322973
   24.533, 12.327599
   24.771, 12.332229
   25.010, 12.336864
   25.252, 12.341498
   25.496, 12.346143
   25.742, 12.350787
   25.991, 12.355427
   26.243, 12.360071
   26.496, 12.364706
   26.752, 12.369341
   27.011, 12.373966
   27.272, 12.378582
   27.536, 12.383183
   27.802, 12.387775
   28.071, 12.392353
   28.342, 12.396907
   28.616, 12.401446
   28.893, 12.405957
   29.172, 12.410449
   29.454, 12.414912
   29.739, 12.419347
   30.026, 12.423743
   30.316, 12.428102
   30.609, 12.432426
   30.905, 12.436704
   31.204, 12.440938
   31.506, 12.445125
   31.810, 12.449254
   32.118, 12.453331
   32.428, 12.457341
   32.742, 12.461289
   33.058, 12.465171
   33.378, 12.468981
   33.700, 12.472710
   34.026, 12.476357
   34.355, 12.479919
   34.687, 12.483386
   35.023, 12.486757
   35.361, 12.490028
   35.703, 12.493190
   36.048, 12.496242
   36.397, 12.499169
   36.748, 12.501973
   37.104, 12.504643
   37.462, 12.507175
   37.824, 12.509564
   38.190, 12.511801
   38.559, 12.513875
   38.932, 12.515782
   39.308, 12.517518
   39.688, 12.519068
   40.072, 12.520427
   40.459, 12.521585
   40.850, 12.522534
   41.245, 12.523269
   41.644, 12.523774
   42.047, 12.524041
   42.453, 12.524060
   42.863, 12.523822
   43.278, 12.523312
   43.696, 12.522525
   44.119, 12.521442
   44.545, 12.520060
   44.976, 12.518357
   45.410, 12.516326
   45.849, 12.513951
   46.293, 12.511219
   46.740, 12.508148
   47.192, 12.504786
   47.648, 12.501196
   48.109, 12.497434
   48.574, 12.493500
   49.043, 12.489394
   49.517, 12.485107
   49.996, 12.480635
   50.479, 12.475976
   50.967, 12.471127
   51.460, 12.466082
   51.958, 12.460836
   52.460, 12.455381
   52.967, 12.449712
   53.479, 12.443828
   53.996, 12.437719
   54.518, 12.431387
   55.045, 12.424816
   55.577, 12.418012
   56.114, 12.410964
   56.657, 12.403664
   57.204, 12.396106
   57.757, 12.388290
   58.316, 12.380203
   58.879, 12.371840
   59.449, 12.363194
   60.023, 12.354268
   60.603, 12.345041
   61.189, 12.335519
   61.781, 12.325682
   62.378, 12.315535
   62.981, 12.305058
   63.590, 12.294253
   64.205, 12.283110
   64.825, 12.271623
   65.452, 12.259778
   66.085, 12.247576
   66.723, 12.235002
   67.368, 12.222051
   68.020, 12.208709
   68.677, 12.194966
   69.341, 12.180785
   70.011, 12.165851
   70.688, 12.149962
   71.371, 12.133202
   72.061, 12.115935
   72.758, 12.098450
   73.461, 12.080783
   74.171, 12.062930
   74.888, 12.044887
   75.612, 12.026657
   76.343, 12.008232
   77.081, 11.989612
   77.826, 11.970796
   78.579, 11.951784
   79.338, 11.932563
   80.105, 11.913146
   80.880, 11.893519
   81.662, 11.873683
   82.451, 11.853637
   83.248, 11.833376
   84.053, 11.812901
   84.865, 11.792206
   85.686, 11.771292
   86.514, 11.750158
   87.350, 11.728791
   88.195, 11.707200
   89.047, 11.685375
   89.908, 11.663317
   90.777, 11.641025
   91.655, 11.618494
   92.541, 11.595725
   93.435, 11.572770
   94.338, 11.549639
   95.250, 11.526321
   96.171, 11.502756
   97.101, 11.478909
   98.039, 11.454782
   98.987, 11.430372
   99.944, 11.405686
  100.910, 11.380724
  101.886, 11.355490
  102.871, 11.329988
  103.865, 11.304220
  104.869, 11.278194
  105.883, 11.251911
  106.906, 11.225375
  107.940, 11.198596
  108.983, 11.171578
  110.037, 11.144327
  111.100, 11.116847
  112.174, 11.089148
  113.259, 11.061238
  114.354, 11.033124
  115.459, 11.004824
  116.575, 10.976442
  117.702, 10.948099
  118.840, 10.919827
  119.989, 10.891570
  121.148, 10.863241
  122.320, 10.834831
  123.502, 10.806345
  124.696, 10.777778
  125.901, 10.749144
  127.118, 10.720433
  128.347, 10.691661
  129.588, 10.662822
  130.841, 10.633925
  132.105, 10.604977
  133.382, 10.575975
  134.672, 10.546926
  135.974, 10.517830
  137.288, 10.488700
  138.615, 10.459599
  139.955, 10.431055
  141.308, 10.403551
  142.674, 10.377053
  144.053, 10.350989
  145.446, 10.324825
  146.852, 10.298490
  148.271, 10.271982
  149.705, 10.245303
  151.152, 10.218452
  152.613, 10.191430
  154.088, 10.164231
  155.578, 10.136861
  157.082, 10.109319
  158.600, 10.081605
  160.133, 10.053715
