Frequency(Hz),   Magnitude(dB)
   23.607, -16.099163
   23.836, -16.095692
   24.066, -16.089550
   24.299, -16.082808
   24.533, -16.076008
   24.771, -16.069170
   25.010, -16.062275
   25.252, -16.055342
   25.496, -16.048370
   25.742, -16.041351
   25.991, -16.034294
   26.243, -16.027218
   26.496, -16.020103
   26.752, -16.012960
   27.011, -16.005798
   27.272, -15.998608
   27.536, -15.991407
   27.802, -15.984198
   28.071, -15.976978
   28.342, -15.969749
   28.616, -15.962540
   28.893, -15.955330
   29.172, -15.948130
   29.454, -15.940948
   29.739, -15.933796
   30.026, -15.926672
   30.316, -15.919586
   30.609, -15.912539
   30.905, -15.905548
   31.204, -15.898605
   31.506, -15.891739
   31.810, -15.884949
   32.118, -15.878235
   32.428, -15.871616
   32.742, -15.865103
   33.058, -15.858685
   33.378, -15.852400
   33.700, -15.846239
   34.026, -15.840231
   34.355, -15.834366
   34.687, -15.828672
   35.023, -15.823160
   35.361, -15.817829
   35.703, -15.812708
   36.048, -15.807806
   36.397, -15.803143
   36.748, -15.798717
   37.104, -15.794569
   37.462, -15.790688
   37.824, -15.787111
   38.190, -15.783850
   38.559, -15.780931
   38.932, -15.778357
   39.308, -15.776163
   39.688, -15.774361
   40.072, -15.772978
   40.459, -15.772034
   40.850, -15.771547
   41.245, -15.771547
   41.644, -15.772062
   42.047, -15.773121
   42.453, -15.774733
   42.863, -15.776945
   43.278, -15.779787
   43.696, -15.783278
   44.119, -15.787455
   44.545, -15.792347
   44.976, -15.798002
   45.410, -15.804430
   45.849, -15.811687
   46.293, -15.819794
   46.740, -15.828711
   47.192, -15.838219
   47.648, -15.848080
   48.109, -15.858074
   48.574, -15.868202
   49.043, -15.878445
   49.517, -15.888811
   49.996, -15.899302
   50.479, -15.909916
   50.967, -15.920664
   51.460, -15.931536
   51.958, -15.942541
   52.460, -15.953671
   52.967, -15.964933
   53.479, -15.976339
   53.996, -15.987879
   54.518, -15.999561
   55.045, -16.011387
   55.577, -16.023355
   56.114, -16.035458
   56.657, -16.047722
   57.204, -16.060129
   57.757, -16.072680
   58.316, -16.085402
   58.879, -16.098267
   59.449, -16.111294
   60.023, -16.124474
   60.603, -16.137815
   61.189, -16.151329
   61.781, -16.165005
   62.378, -16.178852
   62.981, -16.192871
   63.590, -16.207062
   64.205, -16.221424
   64.825, -16.235968
   65.452, -16.250692
   66.085, -16.265608
   66.723, -16.280695
   67.368, -16.295982
   68.020, -16.311451
   68.677, -16.327120
   69.341, -16.342970
   70.011, -16.358906
   70.688, -16.374842
   71.371, -16.390778
   72.061, -16.406818
   72.758, -16.423040
   73.461, -16.439453
   74.171, -16.456066
   74.888, -16.472889
   75.612, -16.489912
   76.343, -16.507145
   77.081, -16.524588
   77.826, -16.542240
   78.579, -16.560122
   79.338, -16.578213
   80.105, -16.596523
   80.880, -16.615072
   81.662, -16.633841
   82.451, -16.652847
   83.248, -16.672092
   84.053, -16.691576
   84.865, -16.711298
   85.686, -16.731268
   86.514, -16.751486
   87.350, -16.771952
   88.195, -16.792675
   89.047, -16.813656
   89.908, -16.834913
   90.777, -16.856428
   91.655, -16.878220
   92.541, -16.900316
   93.435, -16.922966
   94.338, -16.946417
   95.250, -16.970745
   96.171, -16.995827
   97.101, -17.021490
   98.039, -17.047716
   98.987, -17.074476
   99.944, -17.101742
  100.910, -17.129484
  101.886, -17.157684
  102.871, -17.186295
  103.865, -17.215296
  104.869, -17.244640
  105.883, -17.274290
  106.906, -17.304207
  107.940, -17.334352
  108.983, -17.364670
  110.037, -17.395121
  111.100, -17.425648
  112.174, -17.456194
  113.259, -17.486712
  114.354, -17.517115
  115.459, -17.547337
  116.575, -17.577082
  117.702, -17.606169
  118.840, -17.634750
  119.989, -17.663227
  121.148, -17.691933
  122.320, -17.720915
  123.502, -17.750183
  124.696, -17.779728
  125.901, -17.809568
  127.118, -17.839685
  128.347, -17.870098
  129.588, -17.900806
  130.841, -17.931810
  132.105, -17.963110
  133.382, -17.994715
  134.672, -18.026625
  135.974, -18.058849
  137.288, -18.091379
  138.615, -18.124224
  139.955, -18.157393
  141.308, -18.190876
  142.674, -18.224684
  144.053, -18.258825
  145.446, -18.293291
  146.852, -18.328091
  148.271, -18.363224
  149.705, -18.398691
  151.152, -18.434511
  152.613, -18.470684
  154.088, -18.507191
  155.578, -18.544060
  157.082, -18.581291
  158.600, -18.618876
  160.133, -18.656822
  161.681, -18.695198
  163.244, -18.734470
  164.822, -18.775173
  166.416, -18.817373
  168.024, -18.860680
  169.649, -18.904606
  171.289, -18.949114
  172.944, -18.994194
  174.616, -19.039856
  176.304, -19.086128
  178.008, -19.132992
  179.729, -19.180475
  181.467, -19.228579
  183.221, -19.277321
  184.992, -19.326674
  186.780, -19.376503
  188.586, -19.426800
  190.409, -19.477678
  192.249, -19.529396
  194.108, -19.582029
  195.984, -19.635483
  197.879, -19.689661
  199.792, -19.744440
  201.723, -19.799725
  203.673, -19.855362
  205.642, -19.911228
  207.630, -19.966179
  209.637, -20.011126
  211.663, -20.028645
  213.710, -20.012032
  215.775, -19.965378
  217.861, -19.902597
  219.967, -19.829222
  222.094, -19.749514
  224.241, -19.668003
  226.408, -19.589449
  228.597, -19.518877
  230.807, -19.461924
  233.038, -19.425789
  235.291, -19.412580
  237.565, -19.417015
  239.862, -19.429785
  242.180, -19.444700
  244.521, -19.461037
  246.885, -19.478823
  249.272, -19.498096
  251.681, -19.518896
  254.114, -19.541241
  256.571, -19.564949
  259.051, -19.589745
  261.555, -19.615475
  264.083, -19.642082
  266.636, -19.669519
  269.214, -19.697548
  271.816, -19.725872
  274.444, -19.754196
  277.097, -19.782215
  279.775, -19.809814
  282.480, -19.837118
  285.211, -19.864288
  287.968, -19.891411
  290.751, -19.918381
  293.562, -19.945189
  296.400, -19.971806
  299.265, -19.998232
  302.158, -20.024372
  305.079, -20.049959
  308.028, -20.074974
  311.006, -20.099464
  314.012, -20.123697
  317.048, -20.147711
  320.112, -20.171486
  323.207, -20.195023
  326.331, -20.218416
  329.486, -20.241762
  332.671, -20.265089
  335.887, -20.288273
  339.134, -20.311180
  342.412, -20.333782
  345.722, -20.356070
  349.064, -20.377937
  352.438, -20.399204
  355.845, -20.419794
  359.285, -20.439707
  362.758, -20.459057
  366.265, -20.477844
  369.806, -20.496050
  373.380, -20.513645
  376.990, -20.530640
  380.634, -20.547043
  384.314, -20.562855
  388.029, -20.578075
  391.780, -20.592686
  395.567, -20.606657
  399.391, -20.619808
  403.252, -20.631844
  407.150, -20.642792
  411.086, -20.653149
  415.059, -20.663877
  419.072, -20.676046
  423.123, -20.690828
  427.213, -20.708729
  431.343, -20.729290
  435.513, -20.751015
  439.723, -20.771881
  443.973, -20.789133
  448.265, -20.801712
  452.598, -20.810276
  456.973, -20.817209
  461.391, -20.824123
  465.851, -20.831781
  470.354, -20.840336
  474.901, -20.849691
  479.492, -20.859571
  484.127, -20.870014
  488.807, -20.881058
  493.532, -20.892740
  498.303, -20.905005
  503.120, -20.917774
  507.984, -20.930973
  512.894, -20.944544
  517.852, -20.958544
  522.858, -20.973030
  527.912, -20.987917
  533.016, -21.002575
  538.168, -21.014563
  543.371, -21.023060
  548.623, -21.028286
  553.927, -21.032368
  559.281, -21.036087
  564.688, -21.039530
  570.146, -21.042706
  575.658, -21.045748
  581.223, -21.049286
  586.841, -21.054855
  592.514, -21.063238
  598.242, -21.073833
  604.025, -21.084095
  609.864, -21.091381
  615.759, -21.095272
  621.712, -21.096912
  627.722, -21.098391
  633.790, -21.100336
  639.916, -21.102968
  646.102, -21.106325
  652.348, -21.111189
  658.654, -21.119295
  665.021, -21.131063
  671.450, -21.144672
  677.941, -21.155420
  684.494, -21.160761
  691.111, -21.161524
  697.792, -21.161552
  704.537, -21.164022
  711.348, -21.169792
  718.224, -21.176802
  725.167, -21.180740
  732.177, -21.178661
  739.255, -21.171804
  746.401, -21.165768
  753.616, -21.165615
  760.901, -21.171309
  768.257, -21.177383
  775.683, -21.177345
  783.182, -21.170031
  790.753, -21.160217
  798.397, -21.154314
  806.115, -21.153999
  813.907, -21.155449
  821.775, -21.153513
  829.719, -21.146332
  837.740, -21.135002
  845.838, -21.121441
  854.014, -21.106258
  862.270, -21.089893
  870.605, -21.072508
  879.021, -21.053654
  887.519, -21.030670
  896.098, -21.000429
  904.760, -20.965219
  913.506, -20.933252
  922.337, -20.910107
  931.253, -20.890814
  940.255, -20.865751
  949.345, -20.829674
  958.522, -20.783068
  967.788, -20.729042
  977.143, -20.670744
  986.589, -20.611645
  996.126, -20.551973
 1005.755, -20.484930
 1015.478, -20.406261
 1025.294, -20.320316
 1035.205, -20.237251
 1045.212, -20.159336
 1055.316, -20.079266
 1065.518, -19.990326
 1075.818, -19.890762
 1086.218, -19.783150
 1096.718, -19.672791
 1107.319, -19.564634
 1118.024, -19.456602
 1128.831, -19.342152
 1139.744, -19.219633
 1150.761, -19.093281
 1161.885, -18.967062
 1173.117, -18.840309
 1184.457, -18.712069
 1195.907, -18.582922
 1207.468, -18.453423
 1219.140, -18.323523
 1230.925, -18.193871
 1242.824, -18.069778
 1254.838, -17.949902
 1266.969, -17.827011
 1279.216, -17.696625
 1291.582, -17.563120
 1304.067, -17.436129
 1316.673, -17.318388
 1329.401, -17.205845
 1342.252, -17.094007
 1355.228, -16.979385
 1368.328, -16.863409
 1381.556, -16.752859
 1394.911, -16.649080
 1408.395, -16.550575
 1422.010, -16.452280
 1435.756, -16.353670
 1449.635, -16.251980
 1463.649, -16.146770
 1477.797, -16.044813
 1492.083, -15.947910
 1506.506, -15.854298
 1521.069, -15.763088
 1535.773, -15.675570
 1550.619, -15.590454
 1565.609, -15.503813
 1580.743, -15.415073
 1596.024, -15.323435
 1611.452, -15.230871
 1627.030, -15.138832
 1642.758, -15.048195
 1658.638, -14.955870
 1674.672, -14.861580
 1690.860, -14.769503
 1707.206, -14.679371
 1723.709, -14.592577
 1740.371, -14.511763
 1757.195, -14.431292
 1774.182, -14.346138
 1791.332, -14.251572
 1808.649, -14.153381
 1826.132, -14.055429
 1843.785, -13.959690
 1861.609, -13.865629
 1879.604, -13.770438
 1897.774, -13.675185
 1916.120, -13.582235
 1934.642, -13.495751
 1953.344, -13.414222
 1972.227, -13.330208
 1991.292, -13.234149
 2010.541, -13.131019
 2029.976, -13.025838
 2049.600, -12.924567
 2069.413, -12.824632
 2089.417, -12.728997
 2109.615, -12.636643
 2130.009, -12.545196
 2150.599, -12.452031
 2171.388, -12.355095
 2192.378, -12.256204
 2213.572, -12.156807
 2234.970, -12.059637
 2256.575, -11.970364
 2278.388, -11.883760
 2300.413, -11.801253
 2322.651, -11.711675
 2345.103, -11.620852
 2367.773, -11.532155
 2390.662, -11.452929
 2413.771, -11.378613
 2437.105, -11.303450
 2460.664, -11.224624
 2484.450, -11.149055
 2508.467, -11.082388
 2532.716, -11.022669
 2557.199, -10.971623
 2581.919, -10.919434
 2606.878, -10.871612
 2632.078, -10.824042
 2657.522, -10.787250
 2683.211, -10.756513
 2709.149, -10.734421
 2735.338, -10.717741
 2761.780, -10.704947
 2788.478, -10.698372
 2815.433, -10.702930
 2842.649, -10.725747
 2870.128, -10.756565
 2897.873, -10.787693
 2925.886, -10.820757
 2954.170, -10.862823
 2982.728, -10.913025
 3011.561, -10.967623
 3040.673, -11.026388
 3070.066, -11.095143
 3099.744, -11.171952
 3129.709, -11.259328
 3159.963, -11.341458
 3190.510, -11.433259
 3221.351, -11.523643
 3252.491, -11.626097
 3283.933, -11.732622
 3315.678, -11.843148
 3347.729, -11.960946
 3380.091, -12.079593
 3412.766, -12.204462
 3445.756, -12.329374
 3479.066, -12.452880
 3512.697, -12.580038
 3546.654, -12.709952
 3580.938, -12.842208
 3615.554, -12.965599
 3650.505, -13.091126
 3685.794, -13.219501
 3721.423, -13.355709
 3757.397, -13.489600
 3793.719, -13.617202
 3830.392, -13.746735
 3867.420, -13.874784
 3904.805, -14.002491
 3942.552, -14.124580
 3980.664, -14.247910
 4019.144, -14.382826
 4057.996, -14.513393
 4097.224, -14.635464
 4136.831, -14.738747
 4176.821, -14.845825
 4217.197, -14.962278
 4257.964, -15.091616
 4299.125, -15.217291
 4340.684, -15.338217
 4382.644, -15.446640
 4425.010, -15.553499
 4467.786, -15.660292
 4510.975, -15.772530
 4554.581, -15.886217
 4598.609, -15.994583
 4643.063, -16.107412
 4687.946, -16.223322
 4733.264, -16.337391
 4779.019, -16.437422
 4825.217, -16.529375
 4871.861, -16.635118
 4918.956, -16.748062
 4966.507, -16.870190
 5014.517, -16.989237
 5062.991, -17.109600
 5111.934, -17.215973
 5161.350, -17.312761
 5211.243, -17.409693
 5261.619, -17.528749
 5312.482, -17.660595
 5363.836, -17.802816
 5415.688, -17.927748
 5468.040, -18.048111
 5520.898, -18.176170
 5574.268, -18.313271
 5628.152, -18.451553
 5682.559, -18.590790
 5737.491, -18.746458
 5792.954, -18.903404
 5848.953, -19.068018
 5905.493, -19.221741
 5962.581, -19.400507
 6020.219, -19.567324
 6078.416, -19.750687
 6137.174, -19.920565
 6196.501, -20.109306
 6256.401, -20.284410
 6316.880, -20.469376
 6377.944, -20.644794
 6439.598, -20.834042
 6501.848, -21.036201
 6564.700, -21.235701
 6628.160, -21.434799
 6692.232, -21.638590
 6756.925, -21.845575
 6822.243, -22.050692
 6888.192, -22.248379
 6954.778, -22.463652
 7022.008, -22.678600
 7089.889, -22.882782
 7158.425, -23.065830
 7227.624, -23.248192
 7297.492, -23.419109
 7368.035, -23.592745
 7439.260, -23.785730
 7511.174, -24.003511
 7583.783, -24.195524
 7657.093, -24.356323
 7731.113, -24.492937
 7805.848, -24.653612
 7881.305, -24.821774
 7957.492, -24.984251
 8034.415, -25.130411
 8112.082, -25.273529
 8190.500, -25.405308
 8269.675, -25.529533
 8349.616, -25.644709
 8430.330, -25.752579
 8511.824, -25.855108
 8594.106, -25.938860
 8677.184, -26.009794
 8761.063, -26.066166
 8845.755, -26.100031
 8931.265, -26.119944
 9017.602, -26.131960
 9104.772, -26.142164
 9192.786, -26.153294
 9281.651, -26.147772
 9371.375, -26.115185
 9461.966, -26.050316
 9553.433, -26.020466
 9645.783, -25.978666
 9739.026, -25.926252
 9833.172, -25.812117
 9928.227, -25.703178
10024.200, -25.597645
10121.103, -25.493809
10218.940, -25.370718
10317.725, -25.229612
10417.464, -25.034796
10518.167, -24.785124
10619.844, -24.474083
10722.504, -24.100853
10826.155, -23.674580
10930.810, -23.136068
11036.476, -22.515741
11143.162, -21.729570
11250.881, -20.782887
11359.641, -19.612432
11469.451, -18.155752
11580.324, -16.459309
11692.269, -14.575306
11805.295, -12.734638
11919.414, -11.193739
12034.637, -10.135551
12150.973, -9.722568
12268.434, -9.981385
12387.029, -10.844413
12506.772, -12.115575
12627.672, -13.517343
12749.741, -14.921337
12872.990, -16.257931
12997.431, -17.491041
13123.073, -18.601252
13249.932, -19.585281
13378.016, -20.513597
13507.338, -21.312471
13637.910, -22.060581
13769.744, -22.709900
13902.854, -23.321768
14037.249, -23.865248
14172.944, -24.366575
14309.951, -24.814154
14448.282, -25.220905
14587.950, -25.581518
14728.969, -25.919949
14871.351, -26.209360
15015.108, -26.467186
15160.256, -26.681925
15306.807, -26.880375
15454.774, -27.048861
15604.172, -27.200132
15755.014, -27.328373
15907.314, -27.440716
16061.087, -27.537886
16216.346, -27.616192
16373.105, -27.682787
16531.381, -27.732302
16691.186, -27.751003
16852.535, -27.729641
17015.445, -27.674023
17179.930, -27.862640
17346.004, -29.016300
17513.684, -31.066004
17682.984, -33.598610
17853.922, -33.749397
18026.512, -32.957672
18200.770, -32.585358
18376.713, -32.498184
18554.355, -32.550896
18733.717, -32.681831
18914.813, -32.874077
19097.656, -33.135704
19282.270, -33.436874
19468.666, -33.780655
19656.865, -34.164692
19846.885, -34.615334
20038.740, -35.133369
20232.449, -35.708786
20428.033, -36.349991
20625.506, -37.047394
20824.889, -37.805145
21026.197, -38.616890
21229.453, -39.480396
21434.674, -40.386311
21641.877, -41.304482
21851.084, -42.267567
22062.314, -43.229614
22275.586, -44.145592
22490.918, -44.980797
22708.332, -45.763916
22927.850, -46.460480
23149.488, -47.004860
23373.268, -47.296661
23599.213, -47.355152
23827.340, -47.335022
